,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.3768639999999999,1.0,0.0,0.0,-5.072978417426831e-35,3.5002717030221445e-35,-2.289965e-36,3.0114700000000005e-34,-9.354676485322685e-51,1.6913556453542775e-36,3.0114700000000005e-34,2.1753437378105953e-36,1.9007e-36
1,1.0,0.0,2e-05,0.0,-7.03647875,0.379427,1.0,0.001000000154724476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,2e-05,0.0,-7.038138750000001,0.3813972500000001,1.0,0.0019999974810218273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,-4.412162500000001e-25,-7.039725,0.378025,1.0,0.002999999757066647,0.0,-5.080547500000001e-19,1.3415662500000002e-18,1.523268125e-19,9.799096250000002e-19,-1.4850075000000001e-19,-5.537950000000001e-20,2.09304125e-18,-5.3711375e-20,3.9532500000000004e-20
4,1.0,0.0,2e-05,0.0,-7.03934625,0.374143375,1.0,0.004000002033111467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2e-05,2.3798286250000005e-24,-7.03722,0.37057412500000003,1.0,0.004999997238088474,0.0,-1.9967498240691212e-18,-8.645590018562714e-18,7.2073225e-19,-2.4658362499999993e-18,8.575349999999997e-19,-2.693715480952368e-20,5.497285000000001e-18,-6.401307786345053e-19,-2.1163849999999998e-19
6,1.0,0.0,2e-05,0.0,-7.03443375,0.36729475,1.0,0.005999999514133294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.0334087499999995,0.36414375000000004,1.0,0.007000001790178113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.033835,0.36090825000000004,1.0,0.00799999699515512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-7.033117500000001,0.36086125,1.0,0.008999999271199943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
