,DESRegionMean,DESRegionPrime2Mean,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,r,z,u_mean_r,u_mean_t,u_mean_z,R_rr,R_rt,R_rz,R_tt,R_tz,R_zz
0,1.0,0.0,2e-05,0.0,-7.0369600000000005,0.376864,1,0.0,0.0,-3.749456742985719e-34,2.5870635077204672e-34,-4.57993e-36,5.860533835817418e-34,-7.630127646275001e-35,1.2500870903521884e-35,6.185346164182584e-34,1.6078044444318466e-35,3.8014e-36
1,1.0,0.0,2e-05,0.0,-7.02712,0.397313,1,0.0010000002664444646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,2e-05,0.0,-7.024769999999999,0.400327,1,0.0020000009155720405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,2e-05,0.0,-7.022810000000001,0.393254,1,0.003000001182016434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,2e-05,0.0,-7.01932,0.383825,1,0.004000000300412488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2e-05,0.0,-7.016380000000001,0.375835,1,0.005000003245638946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,2e-05,0.0,-7.018689999999999,0.362711,1,0.006000002364032868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,2e-05,0.0,-7.0294300000000005,0.34667600000000004,1,0.0070000014824284145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,2e-05,0.0,-7.042510000000001,0.33658299999999997,1,0.008000004427655024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,2e-05,0.0,-7.05282,0.332071,1,0.0090000035460493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,2e-05,0.0,-7.06067,0.333806,1,0.010000002664444644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,2e-05,0.0,-7.064769999999999,0.33905,1,0.011000024087264536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,2e-05,0.0,-7.0634,0.344775,1,0.012000041683260937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,2e-05,0.0,-7.057739999999999,0.352997,1,0.012999966891280915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,2e-05,0.0,-7.05042,0.36212,1,0.013999988314098693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,2e-05,0.0,-7.04051,0.37097399999999997,1,0.015000005910082168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,2e-05,0.0,-7.027239999999999,0.379254,1,0.016000027332901654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,2e-05,0.0,-7.01155,0.386939,1,0.017000044928893572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,0.0,2e-05,0.0,-6.99465,0.396142,1,0.017999970136919674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,2e-05,0.0,-6.976960000000001,0.407699,1,0.0189999915597376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,2e-05,0.0,-6.9573100000000005,0.421033,1,0.0200000091557204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,2e-05,0.0,-6.933660000000001,0.437896,1,0.02100002675170915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,2e-05,0.0,-6.90477,0.45961599999999997,1,0.021999955786582842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,2e-05,0.0,-6.87395,0.482576,1,0.022999973382558513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.0,2e-05,0.0,-6.843030000000001,0.503913,1,0.02399999097853997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,2e-05,0.0,-6.813969999999999,0.5132329999999999,1,0.025000012401358924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,2e-05,0.0,-6.79006,0.49697700000000006,1,0.02600002999734616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,2e-05,0.0,-6.7731,0.468322,1,0.026999974339617434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,2e-05,0.0,-6.763780000000001,0.45218,1,0.02799996132086614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,2e-05,0.0,-6.76445,0.45189799999999997,1,0.028999986570514134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.371501,1.0761300000000001e-05,-6.75863,0.425591,1,0.030000011820164336,0.0,-0.07725178265032033,0.0014569244275763546,5.34172,0.00011827633863453928,2.13698275876291e-05,-0.0011477659194043623,0.0009747926613654608,-0.0003013001065546755,0.013490799999999999
31,0.0,0.0,0.689575,0.000136235,-6.32923,0.341488,1,0.031000037069816546,0.0,-0.14270935056325734,0.00011039956214048408,9.20487,0.0003764440416418957,5.4925367756802516e-05,-0.0012689457476359495,0.0005157839583581044,-0.00029300196039044006,0.00546368
32,0.0,0.0,0.503308,0.000156107,-5.98386,0.281525,1,0.03199996993154837,0.0,-0.1721276871172673,-0.00013001057699981583,10.4276,0.0004529742561379997,6.24148518642995e-05,-0.0011591427963522504,0.0003462717438620003,-0.0002299333803097887,0.00364978
33,1.0,0.0,0.229212,0.000100794,-5.6637699999999995,0.236048,1,0.03299999518121177,0.0,-0.19114588946327593,-0.00024360866797504266,11.3192,0.0004875206199979735,6.527182488980224e-05,-0.0010169761774410481,0.0002460143800020265,-0.0001796694572997709,0.00252769
34,0.999992,7.774980000000001e-06,0.019702,1.71669e-05,-5.36038,0.200234,1,0.03399998216249532,0.0,-0.20330765734517398,-0.0002853966666411939,11.8615,0.000499159229733889,6.523632812938666e-05,-0.0008081653408485118,0.00018444877026611097,-0.00012801072260248,0.0015105000000000001
35,0.998617,0.00137663,6.801970000000001e-05,3.7052399999999996e-07,-5.07954,0.171982,1,0.03500000741214207,0.0,-0.21017264508765288,-0.0005665124001288102,11.8924,0.0004704962088696512,6.396940490953472e-05,-0.0006299585473157995,0.00015264379113034884,-9.854931939779036e-05,0.000960166
36,1.0,0.0,2.0705e-05,1.18633e-07,-4.82535,0.149554,1,0.036000032661790735,0.0,-0.21546928148605365,-0.00047909299074912204,11.8607,0.0004447936844812298,6.244141786606873e-05,-0.0005703338452530287,0.0001298773155187702,-8.82380338850218e-05,0.000819794
37,1.0,0.0,2.06371e-05,1.3202e-07,-4.59321,0.131296,1,0.03699996552349745,0.0,-0.21998520610478828,-0.0006589535976268407,11.8327,0.00042436817897013564,5.972032955070663e-05,-0.0005232931343172653,0.00011125182102986444,-7.820349973250915e-05,0.000712956
38,1.0,0.0,2.05816e-05,1.39612e-07,-4.3741699999999994,0.115792,1,0.03799999077315678,0.0,-0.22409013250033497,7.914336561314073e-05,11.8045,0.00040669926075015606,5.6120519638364054e-05,-0.0004783922872230808,9.592073924984395e-05,-6.799133467192279e-05,0.000615134
39,1.0,0.0,2.05322e-05,1.5159e-07,-4.17989,0.10325799999999999,1,0.039000016022817226,0.0,-0.22662971219609762,-0.0005629913000683995,11.7816,0.0003895189249907482,5.245745902444431e-05,-0.0004413959175041753,8.424077500925184e-05,-5.958017555905038e-05,0.000542232
40,1.0,0.0,2.04964e-05,1.60476e-07,-3.99088,0.09205060000000001,1,0.04000000300412488,0.0,-0.22952793543258415,-0.0005195895548299467,11.7581,0.0003751981815157955,4.967060977843186e-05,-0.0004065619958850995,7.403991848420448e-05,-5.2962034911097734e-05,0.000474765
41,1.0,0.0,2.04666e-05,1.7083100000000003e-07,-3.8161199999999997,0.0825045,1,0.04100002825377075,0.0,-0.2322060608884817,-0.0005032175520952309,11.7371,0.0003643175591940345,4.649782165124785e-05,-0.00037657561644339213,6.542034080596553e-05,-4.619352192980365e-05,0.00041806199999999997
42,1.0,0.0,2.04368e-05,1.8097200000000001e-07,-3.64822,0.07403610000000001,1,0.041999961115458194,0.0,-0.23452793639752598,-0.0007354375350862308,11.7172,0.00035407690148847446,4.347490480633629e-05,-0.0003478434736117994,5.805569851152555e-05,-4.029057154927741e-05,0.000367109
43,1.0,0.0,2.03969e-05,1.8780699999999998e-07,-3.4852800000000004,0.06643660000000001,1,0.042999986365114116,0.0,-0.23669322091104486,-0.0005382457109266298,11.6983,0.0003454249673686094,4.051859742021254e-05,-0.000321011557483321,5.202833263139062e-05,-3.486169301644004e-05,0.000324372
44,1.0,0.0,2.03633e-05,1.8930999999999997e-07,-3.3334,0.059935699999999995,1,0.04400001161477119,0.0,-0.2413067515622119,-0.0004929170142555506,11.6806,0.0003528821177973119,3.916880128560551e-05,-0.0003009843747623462,4.748998220268818e-05,-3.0713889228808645e-05,0.000288197
45,1.0,0.0,2.03523e-05,2.05917e-07,-3.1562799999999998,0.0529457,1,0.04500003686442934,0.0,-0.23608238520619645,-0.00012103038081233419,11.661,0.0003160130275299404,3.5423009178286965e-05,-0.0002664451306778357,4.047317247005972e-05,-2.7489554916023445e-05,0.000250612
46,1.0,0.0,2.03455e-05,2.17061e-07,-3.03246,0.0488595,1,0.04600002384575469,0.0,-0.23411557026036675,-0.00045054575050067214,11.6473,0.0002992625040936693,3.299289530338317e-05,-0.00024604860117996124,3.7392295906330774e-05,-2.4996465897889728e-05,0.00022768900000000002
47,1.0,0.0,2.03356e-05,2.2703700000000002e-07,-2.8975299999999997,0.0449289,1,0.04699995670742687,0.0,-0.23433467151779638,-0.0005722568797893735,11.6324,0.0002942804121558347,3.079708126042551e-05,-0.00022944667306932685,3.42522878441653e-05,-2.2143406878288746e-05,0.00020607099999999997
48,1.0,0.0,2.03257e-05,2.37013e-07,-2.76261,0.0409983,1,0.04799998195707994,0.0,-0.23455465838641532,-0.0006944430804637358,11.6175,0.00028929915912672983,2.8601656126197505e-05,-0.00021284478322703567,3.1112340873270185e-05,-1.9290255470734553e-05,0.000184453
49,1.0,0.0,2.03151e-05,2.46855e-07,-2.63192,0.0372431,1,0.049000007206734156,0.0,-0.23458184310192448,-0.0008378634459725726,11.6032,0.00028400918411377533,2.6494336496905373e-05,-0.00019698144065644522,2.8089915886224695e-05,-1.6624390174420363e-05,0.00016392599999999998
