Point ID,DESRegionMean,DESRegionPrime2Mean,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,kMean,nutMean,pMean,pPrime2Mean,vtkValidPointMask,wallShearStressMean_0,wallShearStressMean_1,wallShearStressMean_2,wallShearStressMean_Magnitude,yPlusMean
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.03696,0.376864,1,-0.00240085,0.00358115,-0.000121853,0.00431319,1.03105
1,1,0,0.00092388,-0.000382683,0,0.001,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04644,0.360266,1,-0.00141589,0.00321523,-0.00069103,0.0035805,1.06465
2,1,0,0.00184776,-0.000765367,0,0.002,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05489,0.350382,1,0.00151204,0.00101764,-0.000799685,0.00199032,1.08518
3,1,0,0.00277164,-0.00114805,0,0.003,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.06268,0.347787,1,0.00403046,0.000675461,-0.000675085,0.00414205,1.1132
4,1,0,0.00369552,-0.00153073,0,0.004,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.06835,0.348697,1,0.00682982,0.000577067,-0.000751063,0.00689518,1.14659
5,1,0,0.0046194,-0.00191342,0,0.005,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.06709,0.342781,1,0.00652092,0.000244349,0.000360563,0.00653545,1.16884
6,1,0,0.00554328,-0.0022961,0,0.006,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.05763,0.33179,1,0.00295285,0.00180407,0.00101863,0.00360716,1.16573
7,1,0,0.00646716,-0.00267878,0,0.007,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.04108,0.324662,1,-0.000219661,0.00430677,0.00116956,0.00446816,1.16254
8,1,0,0.00739104,-0.00306147,0,0.008,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.02268,0.334378,1,-0.00363817,0.00517998,0.000367608,0.00634063,1.15656
9,1,0,0.00831492,-0.00344415,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00966,0.349736,1,-0.00274439,0.00420301,-0.00103564,0.00512538,1.14921
10,1,0,0.0092388,-0.00382683,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-7.00234,0.356883,1,5.79596e-05,0.00346994,-0.000539157,0.00351205,1.1478
11,1,0,0.0101627,-0.00420952,0,0.011,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99875,0.358283,1,0.000516092,0.00368503,0.000108094,0.00372256,1.14755
12,1,0,0.0110866,-0.0045922,0,0.012,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99761,0.357573,1,-0.00061582,0.00423399,0.000181685,0.0042824,1.15502
13,1,0,0.0120104,-0.00497488,0,0.013,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99598,0.356731,1,-0.000891351,0.00350501,-0.000153815,0.00361984,1.15983
14,1,0,0.0129343,-0.00535757,0,0.014,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.99263,0.356386,1,8.79585e-05,0.000792943,-0.000817037,0.00114195,1.17317
15,1,0,0.0138582,-0.00574025,0,0.015,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98877,0.356796,1,0.00226448,-0.00275845,-0.00113972,0.00374644,1.1942
16,1,0,0.0147821,-0.00612294,0,0.016,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.98404,0.355728,1,0.0041858,-0.00535776,-0.000831062,0.00684961,1.20263
17,1,0,0.015706,-0.00650562,0,0.017,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.97795,0.351685,1,0.00467619,-0.00620273,-0.000500453,0.00778403,1.20312
18,1,0,0.0166298,-0.0068883,0,0.018,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.97108,0.348414,1,0.00523531,-0.0061744,-0.000609795,0.0081181,1.20577
19,1,0,0.0175537,-0.00727099,0,0.019,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.96159,0.348734,1,0.00634115,-0.00587739,-0.000664253,0.00867151,1.2169
20,1,0,0.0184776,-0.00765367,0,0.02,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.94618,0.353116,1,0.00730332,-0.00521196,-0.000250745,0.00897585,1.22854
21,1,0,0.0194015,-0.00803635,0,0.021,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.92396,0.359102,1,0.00728927,-0.00485022,0.000232735,0.00875856,1.22394
22,1,0,0.0203253,-0.00841904,0,0.022,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,-6.89526,0.364165,1,0.0050706,-0.00406018,0.00051697,0.00651639,1.2091
